分類コード,分類名称,診療行為コード,診療行為,点数,総計(患者数),北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
B000,特定疾患療養管理料,113001810,特定疾患療養管理料（診療所）,225,31647692,1151109,349356,353888,612216,296487,341847,523725,720497,552241,518275,1676909,1453842,3411766,2307168,597653,232197,241748,163689,202964,535190,519952,1054322,1917934,501574,344582,628791,2306949,1440097,341228,284147,147037,191800,431789,712333,388066,177921,234930,311566,143079,1259888,200081,334730,465110,269268,283677,390407,301536
B000,特定疾患療養管理料,113001910,特定疾患療養管理料（１００床未満の病院）,147,2750349,198531,38040,40057,58770,5260,17717,25060,84481,22143,41668,174957,99812,347405,95383,30312,32654,24928,20643,17553,55328,37552,32793,89472,27895,2827,33968,117784,150319,15638,20910,9746,8569,79820,57489,26435,40672,32738,56325,52496,85687,33652,43519,52866,60062,60555,72685,20590
B000,特定疾患療養管理料,113002010,特定疾患療養管理料（１００床以上２００床未満の病院）,87,3344850,241021,24076,23203,67924,43544,20857,54398,88890,51555,74443,195836,183343,217415,177155,67598,27450,39737,36363,38936,65238,26134,73644,119825,25156,38768,80896,164403,189016,32003,25616,16792,13501,72687,68364,29687,23993,34569,57983,35502,131210,37037,49855,57689,61961,34219,73476,34373
B000,特定疾患療養管理料,113032850,慢性疾患を有する定期受診患者に対する診療（新型コロナウイルス感染症に係る診療報酬上の臨時的な取扱い）,147,709118,38548,8546,9501,11307,4368,6390,13513,10266,7655,10637,32022,30237,92040,48900,10535,6150,11375,5180,2573,13341,9017,13505,34720,8072,9300,17075,40762,28407,5030,2128,4343,4292,11771,17214,3713,4484,3554,8222,7929,28848,5334,10213,14784,8342,10174,14181,10947
B000,特定疾患療養管理料,113034010,特定疾患療養管理料（診療所）（情報通信機器を用いた場合）,196,33786,1010,265,133,165,150,30,86,179,300,484,2381,1881,8310,3867,891,74,218,47,48,562,501,300,2137,774,431,466,2743,1237,150,95,236,512,191,493,137,20,92,389,47,692,139,111,213,78,84,220,252
B000,特定疾患療養管理料,113034110,特定疾患療養管理料（１００床未満の病院）（情報通信機器を用いた場合）,128,302,38,14,0,0,0,-,0,-,0,-,-,53,24,0,-,-,0,0,0,-,0,22,-,0,0,0,22,24,0,-,-,-,0,29,-,-,0,0,0,0,-,-,-,15,-,-,-
B000,特定疾患療養管理料,113034210,特定疾患療養管理料（１００床以上２００床未満の病院）（情報通信機器を用いた場合）,76,674,-,0,0,20,10,-,-,0,31,-,-,21,-,15,0,43,30,53,0,0,-,-,-,0,0,-,-,17,0,-,-,0,-,16,0,23,0,-,0,-,15,-,163,0,0,149,-
B000,特定疾患療養管理料,113044550,重症化リスクの高い者に対する電話等による診療（新型コロナウイルス感染症に係る診療報酬上の臨時的な取扱い）,147,528700,16765,3623,2449,6867,2115,6239,4008,5406,6318,7464,21615,16651,98417,48996,7512,2946,3707,3597,7662,5920,9401,15762,32861,9461,3949,13497,41444,22591,3108,3582,1555,4009,10125,11888,3919,6125,1528,3007,1170,19193,2097,4129,10592,2584,5012,4535,3621
B001_1,ウイルス疾患指導料,113000310,ウイルス疾患指導料１,240,11711,448,149,42,256,44,77,122,126,98,134,469,508,1659,1293,43,34,81,19,43,111,76,143,432,53,63,265,1476,611,80,134,153,101,152,320,65,24,57,270,23,525,48,56,119,119,124,413,59
B001_1,ウイルス疾患指導料,113003210,ウイルス疾患指導料２,330,26300,534,86,42,207,37,37,73,313,337,256,496,877,10626,1614,122,70,123,52,27,258,148,433,1612,172,126,414,3338,708,148,86,20,32,225,336,105,49,118,129,81,1049,0,87,216,92,78,181,455
