都道府県名,二次医療圏番号,二次医療圏名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,0101,南渡島,はい,148,331,420,521,593,616,694,3323,51,102,165,185,211,275,375,1364
北海道,0101,南渡島,いいえ,5129,6310,5674,4903,4304,3616,3716,33652,4127,5345,5283,4692,4174,4046,4992,32659
北海道,0102,南檜山,はい,13,16,28,32,51,42,48,230,-,11,-,13,17,22,30,103
北海道,0102,南檜山,いいえ,272,356,343,315,271,244,245,2046,224,247,260,248,250,257,338,1824
北海道,0103,北渡島檜山,はい,12,29,49,50,62,56,69,327,-,-,15,24,30,24,37,148
北海道,0103,北渡島檜山,いいえ,462,509,456,414,363,316,308,2828,303,395,333,357,296,341,391,2416
北海道,0104,札幌,はい,839,1962,2967,3655,4145,2990,2147,18705,305,483,763,923,899,696,700,4769
北海道,0104,札幌,いいえ,40053,47048,43437,36465,30163,17773,10099,225038,32678,39084,36770,30306,21356,11551,8057,179802
北海道,0105,後志,はい,88,170,240,309,345,356,403,1911,39,57,80,109,113,137,259,794
北海道,0105,後志,いいえ,2673,3435,3172,2826,2377,2087,2037,18607,1946,2644,2522,2327,2132,2072,2591,16234
北海道,0106,南空知,はい,65,151,175,242,366,340,381,1720,20,40,53,74,104,138,207,636
北海道,0106,南空知,いいえ,1833,2505,2178,2164,2019,1759,1584,14042,1418,1950,1988,1885,1759,1607,2018,12625
北海道,0107,中空知,はい,35,100,132,199,237,227,312,1242,19,31,37,76,80,126,214,583
北海道,0107,中空知,いいえ,1181,1679,1510,1403,1271,1061,1214,9319,1071,1425,1341,1339,1242,1278,1694,9390
北海道,0108,北空知,はい,13,18,49,53,83,55,82,353,-,-,-,19,24,33,55,152
北海道,0108,北空知,いいえ,309,419,370,406,353,336,365,2558,302,345,377,350,329,358,464,2525
北海道,0109,西胆振,はい,89,188,243,295,309,335,423,1882,17,53,80,81,113,153,271,768
北海道,0109,西胆振,いいえ,2406,3220,2773,2301,2045,1870,2121,16736,1791,2421,2355,2079,1822,1929,2648,15045
北海道,0110,東胆振,はい,112,224,277,398,454,436,481,2382,38,58,76,116,123,205,296,912
北海道,0110,東胆振,いいえ,3853,4696,3853,3223,2617,2376,2500,23118,2423,2967,2643,2340,2037,2300,2986,17696
北海道,0111,日高,はい,31,57,89,88,111,106,111,593,-,-,27,32,41,49,59,225
北海道,0111,日高,いいえ,831,1002,864,752,654,537,526,5166,558,734,673,614,537,548,643,4307
北海道,0112,上川中部,はい,139,280,431,544,637,593,716,3340,46,73,128,181,188,257,421,1294
北海道,0112,上川中部,いいえ,5116,6294,5631,4826,4449,3670,3736,33722,4104,5127,5007,4165,3798,3813,5158,31172
北海道,0113,上川北部,はい,30,51,103,128,126,152,198,788,16,21,22,23,55,76,125,338
北海道,0113,上川北部,いいえ,837,1045,937,858,876,678,757,5988,666,824,765,787,723,727,1005,5497
北海道,0114,富良野,はい,11,29,42,69,71,100,128,450,-,-,19,34,51,43,93,250
北海道,0114,富良野,いいえ,553,647,638,638,574,506,582,4138,503,612,610,565,534,567,754,4145
北海道,0115,留萌,はい,16,50,56,73,93,96,108,492,-,-,24,41,33,38,81,237
北海道,0115,留萌,いいえ,507,695,636,566,515,423,389,3731,395,518,516,462,480,493,607,3471
北海道,0116,宗谷,はい,31,83,103,108,135,114,119,693,-,-,30,31,40,54,80,256
北海道,0116,宗谷,いいえ,933,1182,983,924,810,701,598,6131,708,759,707,669,589,575,667,4674
北海道,0117,北網,はい,82,186,246,345,429,325,394,2007,32,40,69,97,130,137,237,742
北海道,0117,北網,いいえ,3033,3701,3222,2947,2630,1885,1905,19323,2301,2837,2584,2553,2235,2009,2535,17054
北海道,0118,遠紋,はい,25,67,88,118,102,112,162,674,-,-,25,50,42,51,118,313
北海道,0118,遠紋,いいえ,823,1025,989,924,815,624,670,5870,569,714,803,716,658,707,934,5101
北海道,0119,十勝,はい,148,311,432,555,713,751,893,3803,47,78,141,191,243,310,512,1522
北海道,0119,十勝,いいえ,4935,6050,5386,4914,4358,3559,3696,32898,3785,4763,4599,4230,3787,3790,4791,29745
北海道,0120,釧路,はい,111,248,328,393,446,417,501,2444,35,60,87,114,144,163,283,886
