都道府県名,回答,男40～44歳,男45～49歳,男50～54歳,男55～59歳,男60～64歳,男65～69歳,男70～74歳,男中計,女40～44歳,女45～49歳,女50～54歳,女55～59歳,女60～64歳,女65～69歳,女70～74歳,女中計
北海道,毎日,20608,28740,29122,28559,26417,19909,16291,169646,9174,12832,11950,10296,7539,4713,3473,59977
北海道,時々,27575,31858,27896,23946,20388,13618,11040,156321,19579,23412,21935,18286,14484,9917,9339,116952
北海道,ほとんど飲まない（飲めない）,26414,31540,28041,23466,20696,15820,15272,161249,28186,33844,33538,30605,26911,25468,31607,210159
青森県,毎日,6875,9054,9737,9862,9807,8342,7981,61658,2703,3781,3619,3103,2615,1863,1382,19066
青森県,時々,7308,8215,7591,6890,6104,4373,4339,44820,5272,6550,6249,5891,5031,4009,3631,36633
青森県,ほとんど飲まない（飲めない）,6244,7012,5944,5035,4650,4294,5229,38408,8151,9532,9836,9947,10453,12172,16050,76141
岩手県,毎日,8410,11012,10744,10880,10964,10247,10153,72410,3126,4179,3748,3055,2674,2140,1777,20699
岩手県,時々,6856,7458,6723,6059,5467,4395,4780,41738,4962,5831,5498,4887,4757,4453,4340,34728
岩手県,ほとんど飲まない（飲めない）,8021,8486,7558,6574,5704,5280,6355,47978,9398,10897,10968,11128,11833,14368,18852,87444
宮城県,毎日,15285,19732,19409,18073,17664,16877,17336,124376,6075,8215,7184,5638,4938,3818,3325,39193
宮城県,時々,15802,17132,14781,12387,10747,8780,9354,88983,12001,13758,12399,10545,9589,8760,8913,75965
宮城県,ほとんど飲まない（飲めない）,16215,17612,15257,12190,10510,10108,12100,93992,19455,22023,21190,20070,20310,23813,30927,157788
秋田県,毎日,4496,6125,6154,6888,7284,7549,8137,46633,1850,2465,2324,2001,1939,1857,1428,13864
秋田県,時々,4215,4705,4352,4022,3476,2710,3006,26486,3217,3833,3814,3541,3463,3399,3369,24636
秋田県,ほとんど飲まない（飲めない）,4212,4419,3884,3354,2966,2826,3657,25318,5543,6148,6394,6399,7418,9915,13134,54951
山形県,毎日,7719,9284,9090,9481,10555,10422,10290,66841,2999,3731,3095,2617,2512,1896,1253,18103
山形県,時々,8010,8338,7458,6803,6259,5513,5496,47877,6282,6875,6548,6205,5751,4986,3970,40617
山形県,ほとんど飲まない（飲めない）,7517,7724,6770,5803,5378,5165,6180,44537,10314,11277,11212,11589,12758,14605,16865,88620
福島県,毎日,10819,13873,13635,14365,14864,14261,14613,96430,4018,5266,4812,4037,3957,3131,2554,27775
福島県,時々,11116,12168,10610,9349,8397,7086,7268,65994,8212,9400,8989,8346,8051,7377,7173,57548
福島県,ほとんど飲まない（飲めない）,11907,12987,11338,9847,8982,8290,9623,72974,14384,16383,15869,16375,17663,19977,24411,125062
茨城県,毎日,15075,20954,21787,19820,18316,17030,17324,130306,5179,7367,6966,5333,4249,3505,3060,35659
茨城県,時々,18577,20768,18837,14763,11731,8956,8626,102258,11565,14230,13238,10590,8628,7044,6652,71947
茨城県,ほとんど飲まない（飲めない）,21021,24028,21563,16931,13467,12042,13643,122695,22952,27459,27676,24678,24086,26851,32778,186480
栃木県,毎日,10800,14555,14774,13803,13199,11893,11557,90581,3365,4966,4662,3482,2944,2360,2001,23780
栃木県,時々,12920,14243,12377,9911,8049,6338,6412,70250,7412,9096,8357,6716,5687,4821,4500,46589
